school,short_name,state,city,latitude,longitude,sum_temp,winter_temp,caucasian,research_rank,primary_care_rank,admittance_year,mcat_total_score,md_ph_d_year_last_3_years,distance_to_temple_mi,temple,pop,home,count,region
University of Nevada School of Medicine,Nevada,Nevada,Reno,39.5451056,-119.8182742,93,46,72.2,,,288,507,1,6.7,close,5.00E+05,624000,1,West Mountain
Columbia University College of Physicians and Surgeons,Columbia,New York,New York,40.8415302,-73.9413824,84,39,41.3,3,75,577,521,13,6.4,close,19120000,759000,1,Northeast Mid-Atlantic
Texas Tech University School of Medicine,Texas Tech,Texas,Lubbock,33.5894581,-101.8920263,93,26,86.5,87,48,733,509,NA,6.2,close,318000,201000,1,South West Central
Drexel University College of Medicine,Drexel,Pennsylvania,Philadelphia,40.0193587,-75.1797271,89,28,44.8,85,,1095,511,3,6,close,1600000,230000,1,Northeast Mid-Atlantic
Harvard Medical School,Harvard,Massachusetts,Boston,42.3356687,-71.1042406,82,37,52.1,1,9,699,520,22,5,very close,4870000,740000,1,Northeast New England
Tufts University School of Medicine,Tufts,Massachusetts,Boston,42.3498431,-71.0614614,82,37,52.1,56,45,809,514,5,5,very close,4870000,741000,1,Northeast New England
Creighton University School of Medicine,Creighton,Nebraska ,Omaha,41.2389165,-96.0312117,88,32,75.5,,,730,513,NA,5,very close,1058000,268000,1,Midwest West North Central
University of South Carolina School of Medicine,U South Carolina,South Carolina,Columbia,33.9807215,-80.9630817,95,36,55.5,93,71,401,508,NA,4.8,very close,743000,206000,1,South Atlantic
University of Utah School of Medicine,U of U,Utah ,Salt Lake City ,40.768901,-111.8351306,90,27,72.84,35,25,489,518,18,3.9,very close,1240000,625000,1,West Mountain
Temple University School of Medicine,Temple,Pennsylvania,Philadelphia,40.0063028,-75.152221,89,28,44.8,68,88,866,511,3,3.8,very close,1600000,230000,1,Northeast Mid-Atlantic
University of Connecticut School of Medicine,U Conn,Connecticut,Farmington,41.7288071,-72.7909365,74,36,73.3,62,65,452,511,8,3.6,very close,26712,354000,1,Northeast New England
New York University School of Medicine,NYU,New York ,New York,40.7423032,-73.9743014,84,39,41.3,2,48,409,522,17,3.2,very close,19120000,759000,1,Northeast Mid-Atlantic
Mount Sinai School of Medicine,Mt Sinai,New York ,New York,40.7899333,-73.953623,84,39,41.3,11,71,531,517,12,2.5,very close,19120000,759000,1,Northeast Mid-Atlantic
University of Pennsylvania School of Medicine,Pennsylvania,Pennsylvania,Philadelphia,39.9477614,-75.1925748,89,28,44.8,6,20,626,522,25,2.2,very close,1600000,230000,1,Northeast Mid-Atlantic
"University of California, Irvine School of Medicine",Cal Irvine,California,Irvine,33.6423121,-117.851075,79,65,44.9,51,61,428,515,6,2,very close,272694,1200000,1,West Pacific
Weill Cornell / Rockefeller / Sloan-Kettering Tri-Institutional MD/PhD Program,Cornell,New York,New York,40.7648978,-73.9549405,84,39,41.3,14,45,451,519,18,2,very close,19120000,759000,1,Northeast Mid-Atlantic
"University of California, San Diego School of Medicine",Cal San Diego,California,La Jolla,32.8817088,-117.2350942,75,60,82.5,20,32,521,516,10,1.8,very close,46781,2600000,1,West Pacific
Sidney Kimmel Medical College at Thomas Jefferson University,Thomas Jefferson,Pennsylvania,Philadelphia,39.9487624,-75.1582031,89,28,44.8,56,61,1082,514,5,1.6,very close,1600000,230000,1,Northeast Mid-Atlantic
"University of California, Los Angeles School of Medicine",UCLA,California,Los Angeles,34.0661937,-118.4435224,85,55,48.9,19,13,721,512,14,1.2,very close,18700000,965000,1,West Pacific
